arm,node,role,attack_start_s,t_s,trust
baseline,srv1,grayhole,40,243.822,0.415000
baseline,srv1,grayhole,40,245.221,0.364000
baseline,srv1,grayhole,40,246.706,0.208500
baseline,srv1,grayhole,40,248.074,0.208500
baseline,srv1,grayhole,40,249.798,0.209000
baseline,srv1,grayhole,40,251.100,0.265200
baseline,srv1,grayhole,40,252.451,0.265100
baseline,srv1,grayhole,40,254.015,0.663700
baseline,srv1,grayhole,40,255.431,0.616400
baseline,srv1,grayhole,40,257.072,0.675000
baseline,srv1,grayhole,40,258.736,0.752300
baseline,srv1,grayhole,40,260.162,0.815200
baseline,srv1,grayhole,40,261.724,0.806200
baseline,srv1,grayhole,40,263.030,0.422200
baseline,srv1,grayhole,40,264.632,0.815900
baseline,srv1,grayhole,40,265.998,0.816100
baseline,srv1,grayhole,40,267.440,0.423800
baseline,srv1,grayhole,40,268.827,0.813300
baseline,srv1,grayhole,40,270.190,0.747600
baseline,srv1,grayhole,40,271.684,0.823400
baseline,srv1,grayhole,40,273.012,0.821900
baseline,srv1,grayhole,40,274.412,0.816900
baseline,srv1,grayhole,40,275.822,0.424800
baseline,srv1,grayhole,40,277.484,0.747300
baseline,srv1,grayhole,40,278.982,0.413500
baseline,srv1,grayhole,40,280.374,0.812400
baseline,srv1,grayhole,40,282.125,0.748600
baseline,srv1,grayhole,40,283.728,0.286500
baseline,srv1,grayhole,40,285.222,0.286500
baseline,srv1,grayhole,40,286.562,0.206000
baseline,srv1,grayhole,40,288.044,0.000000
baseline,srv1,grayhole,40,289.469,0.266600
baseline,srv1,grayhole,40,290.939,0.656400
baseline,srv1,grayhole,40,292.236,0.656400
baseline,srv1,grayhole,40,293.635,0.274700
baseline,srv1,grayhole,40,294.937,0.215300
baseline,srv1,grayhole,40,296.284,0.264500
baseline,srv1,grayhole,40,298.210,0.813000
baseline,srv1,grayhole,40,299.644,0.761500
baseline,srv1,grayhole,40,301.123,0.288400
baseline,srv1,grayhole,40,302.585,0.605300
baseline,srv1,grayhole,40,304.282,0.213700
baseline,srv1,grayhole,40,305.711,0.124500
baseline,srv2,none,0,0.042,0.500000
baseline,srv2,none,0,1.077,0.500000
baseline,srv2,none,0,2.113,0.500000
baseline,srv2,none,0,3.146,0.500000
baseline,srv2,none,0,5.064,0.548100
baseline,srv2,none,0,6.304,0.548100
baseline,srv2,none,0,7.542,0.818400
baseline,srv2,none,0,8.781,0.818400
baseline,srv2,none,0,10.020,0.813100
baseline,srv2,none,0,11.285,0.829400
baseline,srv2,none,0,12.525,0.815200
baseline,srv2,none,0,13.765,0.813400
baseline,srv2,none,0,15.047,0.813400
baseline,srv2,none,0,16.309,0.817500
baseline,srv2,none,0,17.546,0.828400
baseline,srv2,none,0,18.786,0.818300
baseline,srv2,none,0,20.024,0.819700
baseline,srv2,none,0,21.298,0.832300
baseline,srv2,none,0,22.537,0.819200
baseline,srv2,none,0,23.798,0.828700
baseline,srv2,none,0,25.187,0.819200
baseline,srv2,none,0,26.458,0.816100
baseline,srv2,none,0,27.825,0.828600
baseline,srv2,none,0,29.148,0.818400
baseline,srv2,none,0,30.477,0.819300
baseline,srv2,none,0,31.778,0.832000
baseline,srv2,none,0,33.258,0.818800
baseline,srv2,none,0,34.553,0.828600
baseline,srv2,none,0,35.959,0.832100
baseline,srv2,none,0,37.408,0.818800
baseline,srv2,none,0,38.745,0.829000
baseline,srv2,none,0,40.130,0.832800
baseline,srv2,none,0,41.633,0.819000
baseline,srv2,none,0,42.925,0.828900
baseline,srv2,none,0,44.391,0.831000
baseline,srv2,none,0,45.694,0.817400
baseline,srv2,none,0,47.100,0.828700
baseline,srv2,none,0,48.447,0.831200
baseline,srv2,none,0,49.836,0.817900
baseline,srv2,none,0,51.353,0.828300
baseline,srv2,none,0,52.737,0.830300
baseline,srv2,none,0,54.179,0.818900
baseline,srv2,none,0,56.010,0.818700
baseline,srv2,none,0,58.013,0.821500
