arm,metric,scope,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
zero_trust,latency_ms,srv4,1025,92.48716097560975,91.58,129.8,198.60199999999995,270.77
zero_trust,latency_ms,srv5,1275,92.43232156862746,94.22,123.27999999999996,173.8634,605.06
zero_trust,latency_ms,srv6,32,482.5971875,126.155,4027.5634999999997,4057.0503,4063.52
zero_trust,latency_ms,srv7,958,93.67230688935283,94.695,132.81449999999995,208.08129999999986,258.26
zero_trust,latency_ms,srv8,352,112.76011363636363,95.37,261.47799999999984,426.37750000000034,576.13
zero_trust,decision_ms,honest,4837,0.5914099648542486,0.55,0.82,1.14,9.14
zero_trust,decision_ms,attacker,1352,0.5855843195266273,0.54,0.8,1.4386000000000014,5.52
zero_trust,decision_ms,all,5522,0.5893607388627309,0.54,0.81,1.14,9.14
zero_trust,decision_ms,srv1,117,0.5096581196581197,0.49,0.69,0.73,0.75
zero_trust,decision_ms,srv2,1032,0.5895445736434108,0.55,0.83,1.2037999999999989,5.42
zero_trust,decision_ms,srv3,46,0.47630434782608694,0.45,0.7,0.7409999999999999,0.75
zero_trust,decision_ms,srv4,1025,0.6137951219512195,0.54,0.84,2.813199999999992,9.06
zero_trust,decision_ms,srv5,1275,0.6011215686274509,0.56,0.83,1.14,9.14
zero_trust,decision_ms,srv6,32,0.53125,0.53,0.7,0.7207,0.73
zero_trust,decision_ms,srv7,958,0.5761899791231733,0.54,0.78,1.01,3.89
zero_trust,decision_ms,srv8,352,0.585625,0.55,0.8244999999999998,1.0098000000000003,4.02
zero_trust,residence_ms,honest,4837,140.25436281689636,123.19159507751465,198.06451797485346,285.61842918396076,4080.796718597412
zero_trust,residence_ms,attacker,1352,142.13324980622917,141.55864715576172,193.79441738128665,247.6349234580994,2308.288097381592
zero_trust,residence_ms,all,5522,140.8032585166149,124.53556060791016,196.6686606407165,279.9288797378539,4080.796718597412
zero_trust,residence_ms,srv1,117,483.1663665608463,129.04620170593262,4062.971305847168,4080.746536254883,4080.796718597412
zero_trust,residence_ms,srv2,1032,123.4301347141118,118.99352073669434,188.70329856872556,250.77065944671625,296.0193157196045
zero_trust,residence_ms,srv3,46,168.40080074642015,153.49674224853516,312.50250339508057,417.7262425422663,503.0984878540039
zero_trust,residence_ms,srv4,1025,129.43942535214308,120.89323997497559,185.3805065155029,252.41467475891108,2350.950002670288
zero_trust,residence_ms,srv5,1275,126.52217079611385,123.25882911682129,187.3893499374389,254.97965335845947,2360.3603839874268
zero_trust,residence_ms,srv6,32,579.9091458320618,158.9794158935547,4041.9145107269287,4065.0116872787476,4071.039915084839
zero_trust,residence_ms,srv7,958,123.0154333632276,123.20208549499512,191.35925769805905,234.92121934890733,271.1834907531738
zero_trust,residence_ms,srv8,352,160.10368073528463,128.07321548461914,328.10966968536377,590.4444551467897,2357.8696250915527
