arm,device,client_ip,client_role,attack_start_s,total_routes,servers_routed,servers_effective,dominant_share,switches,first_server,last_server,abandoned,mean_latency_ms,p95_latency_ms
zero_trust,iot21,10.0.0.21,none,0.0,142,7,7,0.2535211267605634,106,srv3,srv2,0,101.37795774647887,115.11149999999998
zero_trust,iot22,10.0.0.22,none,0.0,137,8,8,0.291970802919708,107,srv2,srv5,0,147.66985401459854,183.32999999999993
zero_trust,iot23,10.0.0.23,none,0.0,134,7,7,0.2462686567164179,108,srv2,srv5,1,170.686992481203,174.26999999999998
zero_trust,iot24,10.0.0.24,none,0.0,135,8,8,0.28888888888888886,110,srv5,srv5,3,97.90333333333334,144.8155
zero_trust,iot25,10.0.0.25,none,0.0,134,7,7,0.30597014925373134,97,srv8,srv5,2,139.4614393939394,151.6725
zero_trust,iot26,10.0.0.26,none,0.0,134,7,7,0.2835820895522388,105,srv4,srv2,1,164.19578947368421,160.1
zero_trust,iot27,10.0.0.27,none,0.0,134,8,8,0.26119402985074625,96,srv2,srv1,3,117.10259541984733,178.445
zero_trust,iot28,10.0.0.28,none,0.0,137,8,8,0.32116788321167883,105,srv1,srv5,0,155.28664233576643,181.02399999999983
zero_trust,iot29,10.0.0.29,none,0.0,139,8,8,0.26618705035971224,114,srv7,srv2,2,76.47649635036497,121.26199999999999
zero_trust,iot30,10.0.0.30,none,0.0,137,8,8,0.24087591240875914,108,srv8,srv7,1,182.79595588235293,232.17
zero_trust,iot31,10.0.0.31,none,0.0,132,8,8,0.23484848484848486,102,srv3,srv5,5,94.31480314960629,143.57099999999997
zero_trust,iot32,10.0.0.32,none,0.0,134,7,7,0.26119402985074625,106,srv3,srv4,3,112.36274809160305,160.445
zero_trust,iot33,10.0.0.33,none,0.0,141,8,8,0.28368794326241137,109,srv7,srv2,0,92.87921985815602,127.71
zero_trust,iot34,10.0.0.34,none,0.0,134,8,8,0.2462686567164179,106,srv4,srv4,2,140.3653787878788,173.57399999999998
zero_trust,iot35,10.0.0.35,none,0.0,132,8,8,0.2878787878787879,99,srv1,srv4,3,153.22317829457364,127.786
zero_trust,iot36,10.0.0.36,none,0.0,134,7,7,0.30597014925373134,92,srv2,srv4,3,133.73412213740457,106.36500000000001
zero_trust,iot37,10.0.0.37,flood,60.0,1450,8,8,0.2675862068965517,1088,srv3,srv2,98,114.53949704142012,168.97100000000003
zero_trust,iot38,10.0.0.38,spoof,15.0,0,0,0,,0,,,0,,
zero_trust,iot39,10.0.0.39,bad_credentials,0.0,0,0,0,,0,,,0,,
zero_trust,iot40,10.0.0.40,bad_credentials,0.0,0,0,0,,0,,,0,,
